drug_1,drug_2,interaction_type,adverse_effects,mechanism
warfarin,aspirin,major,gastrointestinal hemorrhage;bleeding;anemia,CYP2C9 inhibition plus additive antiplatelet effect
warfarin,ibuprofen,major,gastrointestinal hemorrhage;bleeding,NSAID platelet inhibition and gastric mucosal injury plus protein binding displacement
warfarin,diclofenac,major,gastrointestinal hemorrhage;bleeding,NSAID platelet inhibition and gastric mucosal injury
warfarin,fluconazole,major,bleeding;increased INR;hematoma,CYP2C9 inhibition reduces warfarin metabolism
warfarin,amiodarone,major,bleeding;increased INR,CYP2C9 and CYP3A4 inhibition reduces warfarin clearance
warfarin,metronidazole,major,bleeding;increased INR,CYP2C9 inhibition reduces warfarin metabolism
warfarin,co-trimoxazole,major,bleeding;increased INR,Sulfamethoxazole displaces warfarin and inhibits CYP2C9
warfarin,carbamazepine,moderate,thrombosis;reduced anticoagulation,CYP2C9 and CYP3A4 induction accelerates warfarin clearance
warfarin,rifampin,major,thrombosis;reduced anticoagulation,CYP3A4 induction accelerates warfarin clearance
warfarin,phenytoin,moderate,variable INR;bleeding,CYP2C9 competition and inhibition between the two drugs
warfarin,terbinafine,moderate,bleeding;increased INR,CYP2C9 inhibition reported with terbinafine
warfarin,ciprofloxacin,moderate,bleeding;increased INR,CYP2C9 inhibition by fluoroquinolones
warfarin,phenobarbital,moderate,thrombosis;reduced anticoagulation,enzyme induction accelerates warfarin clearance
clopidogrel,omeprazole,moderate,reduced antiplatelet effect;myocardial infarction risk,CYP2C19 inhibition impairs conversion of clopidogrel to its active metabolite
clopidogrel,pantoprazole,minor,reduced antiplatelet effect,CYP2C19 inhibition is weaker than with omeprazole
clopidogrel,fluoxetine,moderate,reduced antiplatelet effect;bleeding,CYP2D6 inhibition impairs clopidogrel activation
aspirin,clopidogrel,major,bleeding;gastrointestinal hemorrhage,additive antiplatelet effects
aspirin,warfarin,major,gastrointestinal hemorrhage;bleeding;anemia,additive anticoagulant and antiplatelet effects
aspirin,methotrexate,major,pancytopenia;stomatitis;anemia,reduced renal clearance of methotrexate
aspirin,sodium valproate,major,valproate toxicity;drowsiness;tremor,protein binding displacement of valproate
simvastatin,clarithromycin,major,myopathy;rhabdomyolysis;myalgia,CYP3A4 inhibition raises simvastatin exposure
simvastatin,fluconazole,moderate,myopathy;rhabdomyolysis,CYP3A4 inhibition raises simvastatin exposure
simvastatin,gemfibrozil,major,myopathy;rhabdomyolysis,additive inhibition of statin uptake transporters
simvastatin,itraconazole,major,rhabdomyolysis;myopathy,strong CYP3A4 inhibition raises simvastatin exposure
simvastatin,cyclosporine,major,myopathy;rhabdomyolysis,CYP3A4 inhibition and transporter overlap
simvastatin,amiodarone,moderate,myopathy;rhabdomyolysis,CYP3A4 inhibition raises simvastatin exposure
atorvastatin,clarithromycin,major,myopathy;rhabdomyolysis,CYP3A4 inhibition raises atorvastatin exposure
atorvastatin,cyclosporine,major,myopathy;rhabdomyolysis,CYP3A4 inhibition and transporter overlap
atorvastatin,amiodarone,moderate,myopathy;myalgia,CYP3A4 inhibition raises atorvastatin exposure
lisinopril,spironolactone,major,hyperkalemia;arrhythmia,additive potassium retention through RAAS blockade
lisinopril,potassium chloride,major,hyperkalemia;arrhythmia,ACE inhibition reduces aldosterone and potassium excretion
lisinopril,ibuprofen,major,renal impairment;hyperkalemia;reduced antihypertensive effect,prostaglandin mediated reduction of renal perfusion
lisinopril,aspirin,moderate,renal impairment;reduced antihypertensive effect,prostaglandin mediated reduction of renal perfusion
lisinopril,hydrochlorothiazide,moderate,hypotension;dehydration;electrolyte imbalance,additive blood pressure lowering
spironolactone,potassium chloride,contraindicated,hyperkalemia;cardiac arrhythmia;cardiac arrest,both drugs raise serum potassium directly
spironolactone,co-trimoxazole,major,hyperkalemia;sudden cardiac death,trimethoprim behaves like an amiloride-like diuretic
spironolactone,hydrochlorothiazide,moderate,hyperkalemia;hyponatremia;electrolyte imbalance,opposite effects on potassium handling may mask electrolyte shifts

digoxin,amiodarone,major,digoxin toxicity;nausea;visual disturbances;arrhythmia,P-glycoprotein and renal clearance inhibition raises digoxin levels
digoxin,verapamil,major,digoxin toxicity;bradycardia;arrhythmia,P-glycoprotein inhibition raises digoxin levels
digoxin,diltiazem,moderate,digoxin toxicity;bradycardia,P-glycoprotein inhibition raises digoxin levels
digoxin,furosemide,major,arrhythmia;digoxin toxicity;hypokalemia,diuretic induced hypokalemia potentiates digoxin
digoxin,quinidine,major,digoxin toxicity;arrhythmia;nausea,P-glycoprotein inhibition and displacement of digoxin
digoxin,itraconazole,moderate,digoxin toxicity,alteration of gut flora and transporter effects
digoxin,clarithromycin,major,digoxin toxicity;arrhythmia,P-glycoprotein inhibition reduces digoxin efflux
digoxin,spironolactone,moderate,digoxin toxicity;arrhythmia,pharmacodynamic potassium shifts
verapamil,metoprolol,major,bradycardia;heart block;hypotension,CYP2D6 inhibition and additive AV nodal blockade
verapamil,propranolol,major,bradycardia;heart block;hypotension,additive AV nodal blockade
verapamil,atenolol,major,bradycardia;heart block,additive AV nodal blockade
verapamil,sildenafil,moderate,hypotension,synergistic vasodilation
diltiazem,metoprolol,major,bradycardia;heart block;hypotension,additive AV nodal blockade
diltiazem,simvastatin,major,myopathy;rhabdomyolysis,moderate CYP3A4 inhibition raises simvastatin exposure
amlodipine,simvastatin,minor,myopathy,CYP3A4 inhibition is mild with amlodipine
metoprolol,fluoxetine,moderate,bradycardia;hypotension,CYP2D6 inhibition reduces metoprolol metabolism
